Date,Workout,Exercise,Set,Reps,Weight (lbs),Raw,Exercise_Normalized,Exercise_Canonical
2024-08-30,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-08-30,Legs 2,Dumbbell Split Squat,3,8,20,,Dumbbell Split Squat,
2024-08-30,Legs 2,Leg extension,1,12,90,,Leg Extension,
2024-08-30,Legs 2,Leg extension,2,12,110,,Leg Extension,
2024-08-30,Legs 2,Leg extension,3,12,120,,Leg Extension,
2024-08-30,Legs 2,Single Leg RDL,1,10,40,,Single Leg Romanian Deadlift,
2024-08-30,Legs 2,Single Leg RDL,2,10,40,,Single Leg Romanian Deadlift,
2024-08-30,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-08-30,Legs 2,Smith machine squat,2,8,95,,Smith Machine Squat,
2024-08-30,Legs 2,Smith machine squat,3,8,105,,Smith Machine Squat,
2024-10-19,Shoulders/Arms,Bayesian Biceps cable curl,1,10,20,,Bayesian Biceps Cable Curl,
2024-10-19,Shoulders/Arms,Bayesian Biceps cable curl,2,10,20,,Bayesian Biceps Cable Curl,
2024-10-19,Shoulders/Arms,Bayesian Biceps cable curl,3,11,20,,Bayesian Biceps Cable Curl,
2024-10-19,Shoulders/Arms,Cable crunch,1,15,50,,Cable Crunch,
2024-10-19,Shoulders/Arms,Cable crunch,2,15,70,,Cable Crunch,
2024-10-19,Shoulders/Arms,Cable crunch,3,15,80,,Cable Crunch,
2024-10-19,Shoulders/Arms,DB Lateral Raises,1,8,15,,Dumbbell Lateral Raises,
2024-10-19,Shoulders/Arms,DB Lateral Raises,2,8,20,,Dumbbell Lateral Raises,
2024-10-19,Shoulders/Arms,DB Lateral Raises,3,8,25,,Dumbbell Lateral Raises,
2024-10-19,Shoulders/Arms,Machine preacher curl,1,10,35,,Machine Preacher Curl,
2024-10-19,Shoulders/Arms,Machine preacher curl,2,11,40,,Machine Preacher Curl,
2024-10-19,Shoulders/Arms,Machine Rear Delt Fly,1,12,20,,Machine Rear Delt Fly,
2024-10-19,Shoulders/Arms,Machine Rear Delt Fly,2,12,30,,Machine Rear Delt Fly,
2024-10-19,Shoulders/Arms,Machine Rear Delt Fly,3,12,30,,Machine Rear Delt Fly,
2024-10-19,Shoulders/Arms,Single arm cable tricep pushdown,1,10,20,,Single Arm Cable Tricep Pushdown,
2024-10-19,Shoulders/Arms,Single arm cable tricep pushdown,2,10,20,,Single Arm Cable Tricep Pushdown,
2024-10-19,Shoulders/Arms,Single arm cable tricep pushdown,3,10,20,,Single Arm Cable Tricep Pushdown,
2024-10-19,Shoulders/Arms,Smith machine shoulder press,1,8,65,,Smith Machine Shoulder Press,
2024-10-19,Shoulders/Arms,Smith machine shoulder press,2,8,95,,Smith Machine Shoulder Press,
2024-10-19,Shoulders/Arms,Smith machine shoulder press,3,8,115,,Smith Machine Shoulder Press,
2024-10-19,Shoulders/Arms,Smith machine shoulder press,4,9,115,,Smith Machine Shoulder Press,
2024-10-19,Shoulders/Arms,Tricep Extension Machine,1,10,50,,Tricep Extension Machine,
2024-10-19,Shoulders/Arms,Tricep Extension Machine,2,10,70,,Tricep Extension Machine,
2024-10-24,Legs 2,Cable Step-Ups,1,10,25,,Cable Step-ups,
2024-10-24,Legs 2,Cable Step-Ups,2,10,30,,Cable Step-ups,
2024-10-24,Legs 2,Cable Step-Ups,3,11,35,,Cable Step-ups,
2024-10-24,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-10-24,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-10-24,Legs 2,Dumbbell Split Squat,3,9,25,,Dumbbell Split Squat,
2024-10-24,Legs 2,Single Leg Extension,1,10,30,,Single Leg Extension,
2024-10-24,Legs 2,Single Leg Extension,2,10,40,,Single Leg Extension,
2024-10-24,Legs 2,Single Leg Extension,3,12,50,,Single Leg Extension,
2024-10-24,Legs 2,Single Leg RDL,1,10,40,,Single Leg Romanian Deadlift,
2024-10-24,Legs 2,Single Leg RDL,2,11,50,,Single Leg Romanian Deadlift,
2024-10-24,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-10-24,Legs 2,Smith machine squat,2,8,105,,Smith Machine Squat,
2024-10-24,Legs 2,Smith machine squat,3,8,115,,Smith Machine Squat,
2024-10-25,Push,Cable crunch,1,15,55,,Cable Crunch,
2024-10-25,Push,Cable crunch,2,15,70,,Cable Crunch,
2024-10-25,Push,Cable crunch,3,16,80,,Cable Crunch,
2024-10-25,Push,Egyptian Lateral Raise,1,10,10,,Egyptian Lateral Raise,
2024-10-25,Push,Egyptian Lateral Raise,2,10,10,,Egyptian Lateral Raise,
2024-10-25,Push,Egyptian Lateral Raise,3,10,15,,Egyptian Lateral Raise,
2024-10-25,Push,Machine chest fly,1,10,50,,Machine Chest Fly,
2024-10-25,Push,Machine chest fly,2,13,40,,Machine Chest Fly,
2024-10-25,Push,Machine chest fly,3,13,30,,Machine Chest Fly,
2024-10-25,Push,Machine Chest Press,1,12,90,,Machine Chest Press,
2024-10-25,Push,Machine Chest Press,2,12,110,,Machine Chest Press,
2024-10-25,Push,Machine Chest Press,3,12,115,,Machine Chest Press,
2024-10-25,Push,Machine incline chest-press,1,8,90,,Machine Incline Chest-press,
2024-10-25,Push,Machine incline chest-press,2,8,90,,Machine Incline Chest-press,
2024-10-25,Push,Machine incline chest-press,3,8,115,,Machine Incline Chest-press,
2024-10-25,Push,Tricep overhead rope extension,1,10,30,,Tricep Overhead Rope Extension,
2024-10-25,Push,Tricep overhead rope extension,2,10,40,,Tricep Overhead Rope Extension,
2024-10-25,Push,Tricep overhead rope extension,3,10,45,,Tricep Overhead Rope Extension,
2024-10-25,Push,Upper body warmup,1,10,10,,Upper Body Warmup,
2024-10-26,Shoulders/Arms,Bayesian Biceps cable curl,1,10,20,,Bayesian Biceps Cable Curl,
2024-10-26,Shoulders/Arms,Bayesian Biceps cable curl,2,10,20,,Bayesian Biceps Cable Curl,
2024-10-26,Shoulders/Arms,Bayesian Biceps cable curl,3,10,25,,Bayesian Biceps Cable Curl,
2024-10-26,Shoulders/Arms,Cable crunch,1,15,60,,Cable Crunch,
2024-10-26,Shoulders/Arms,Cable crunch,2,15,70,,Cable Crunch,
2024-10-26,Shoulders/Arms,Cable crunch,3,16,80,,Cable Crunch,
2024-10-26,Shoulders/Arms,DB Lateral Raises,1,8,15,,Dumbbell Lateral Raises,
2024-10-26,Shoulders/Arms,DB Lateral Raises,2,8,20,,Dumbbell Lateral Raises,
2024-10-26,Shoulders/Arms,DB Lateral Raises,3,8,30,,Dumbbell Lateral Raises,
2024-10-26,Shoulders/Arms,Machine preacher curl,1,10,35,,Machine Preacher Curl,
2024-10-26,Shoulders/Arms,Machine preacher curl,2,10,45,,Machine Preacher Curl,
2024-10-26,Shoulders/Arms,Machine Rear Delt Fly,1,12,20,,Machine Rear Delt Fly,
2024-10-26,Shoulders/Arms,Machine Rear Delt Fly,2,12,30,,Machine Rear Delt Fly,
2024-10-26,Shoulders/Arms,Machine Rear Delt Fly,3,13,30,,Machine Rear Delt Fly,
2024-10-26,Shoulders/Arms,Single arm cable tricep pushdown,1,10,20,,Single Arm Cable Tricep Pushdown,
2024-10-26,Shoulders/Arms,Single arm cable tricep pushdown,2,10,120,,Single Arm Cable Tricep Pushdown,
2024-10-26,Shoulders/Arms,Single arm cable tricep pushdown,3,11,20,,Single Arm Cable Tricep Pushdown,
2024-10-26,Shoulders/Arms,Smith machine shoulder press,1,8,65,,Smith Machine Shoulder Press,
2024-10-26,Shoulders/Arms,Smith machine shoulder press,2,8,95,,Smith Machine Shoulder Press,
2024-10-26,Shoulders/Arms,Smith machine shoulder press,3,8,115,,Smith Machine Shoulder Press,
2024-10-26,Shoulders/Arms,Smith machine shoulder press,4,9,115,,Smith Machine Shoulder Press,
2024-10-26,Shoulders/Arms,Tricep Extension Machine,1,10,50,,Tricep Extension Machine,
2024-10-26,Shoulders/Arms,Tricep Extension Machine,2,11,70,,Tricep Extension Machine,
2024-10-31,Legs 2,Cable Step-Ups,1,10,25,,Cable Step-ups,
2024-10-31,Legs 2,Cable Step-Ups,2,10,30,,Cable Step-ups,
2024-10-31,Legs 2,Cable Step-Ups,3,11,35,,Cable Step-ups,
2024-10-31,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-10-31,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-10-31,Legs 2,Dumbbell Split Squat,3,9,25,,Dumbbell Split Squat,
2024-10-31,Legs 2,Single Leg Extension,1,10,30,,Single Leg Extension,
2024-10-31,Legs 2,Single Leg Extension,2,10,40,,Single Leg Extension,
2024-10-31,Legs 2,Single Leg Extension,3,12,50,,Single Leg Extension,
2024-10-31,Legs 2,Single Leg RDL,1,10,40,,Single Leg Romanian Deadlift,
2024-10-31,Legs 2,Single Leg RDL,2,11,50,,Single Leg Romanian Deadlift,
2024-10-31,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-10-31,Legs 2,Smith machine squat,2,8,105,,Smith Machine Squat,
2024-10-31,Legs 2,Smith machine squat,3,9,115,,Smith Machine Squat,
2024-11-01,Push,Cable crunch,1,15,60,,Cable Crunch,
2024-11-01,Push,Cable crunch,2,15,70,,Cable Crunch,
2024-11-01,Push,Cable crunch,3,16,80,,Cable Crunch,
2024-11-01,Push,Egyptian Lateral Raise,1,10,10,,Egyptian Lateral Raise,
2024-11-01,Push,Egyptian Lateral Raise,2,10,10,,Egyptian Lateral Raise,
2024-11-01,Push,Egyptian Lateral Raise,3,10,10,,Egyptian Lateral Raise,
2024-11-01,Push,Machine chest fly,1,10,50,,Machine Chest Fly,
2024-11-01,Push,Machine chest fly,2,13,40,,Machine Chest Fly,
2024-11-01,Push,Machine chest fly,3,13,30,,Machine Chest Fly,
2024-11-01,Push,Machine Chest Press,1,12,90,,Machine Chest Press,
2024-11-01,Push,Machine Chest Press,2,12,110,,Machine Chest Press,
2024-11-01,Push,Machine Chest Press,3,12,115,,Machine Chest Press,
2024-11-01,Push,Machine incline chest-press,1,8,90,,Machine Incline Chest-press,
2024-11-01,Push,Machine incline chest-press,2,9,90,,Machine Incline Chest-press,
2024-11-01,Push,Machine incline chest-press,3,9,115,,Machine Incline Chest-press,
2024-11-01,Push,Tricep overhead rope extension,1,10,30,,Tricep Overhead Rope Extension,
2024-11-01,Push,Tricep overhead rope extension,2,10,40,,Tricep Overhead Rope Extension,
2024-11-01,Push,Tricep overhead rope extension,3,10,45,,Tricep Overhead Rope Extension,
2024-11-01,Push,Upper body warmup,1,10,10,,Upper Body Warmup,
2024-11-02,Shoulders/Arms,Bayesian Biceps cable curl,1,10,20,,Bayesian Biceps Cable Curl,
2024-11-02,Shoulders/Arms,Bayesian Biceps cable curl,2,10,25,,Bayesian Biceps Cable Curl,
2024-11-02,Shoulders/Arms,Bayesian Biceps cable curl,3,11,25,,Bayesian Biceps Cable Curl,
2024-11-02,Shoulders/Arms,Cable crunch,1,15,60,,Cable Crunch,
2024-11-02,Shoulders/Arms,Cable crunch,2,15,70,,Cable Crunch,
2024-11-02,Shoulders/Arms,Cable crunch,3,17,80,,Cable Crunch,
2024-11-02,Shoulders/Arms,DB Lateral Raises,1,8,15,,Dumbbell Lateral Raises,
2024-11-02,Shoulders/Arms,DB Lateral Raises,2,8,20,,Dumbbell Lateral Raises,
2024-11-02,Shoulders/Arms,DB Lateral Raises,3,8,30,,Dumbbell Lateral Raises,
2024-11-02,Shoulders/Arms,Machine preacher curl,1,10,35,,Machine Preacher Curl,
2024-11-02,Shoulders/Arms,Machine preacher curl,2,11,45,,Machine Preacher Curl,
2024-11-02,Shoulders/Arms,Machine Rear Delt Fly,1,12,20,,Machine Rear Delt Fly,
2024-11-02,Shoulders/Arms,Machine Rear Delt Fly,2,12,30,,Machine Rear Delt Fly,
2024-11-02,Shoulders/Arms,Machine Rear Delt Fly,3,13,30,,Machine Rear Delt Fly,
2024-11-02,Shoulders/Arms,Single arm cable tricep pushdown,1,10,20,,Single Arm Cable Tricep Pushdown,
2024-11-02,Shoulders/Arms,Single arm cable tricep pushdown,2,10,20,,Single Arm Cable Tricep Pushdown,
2024-11-02,Shoulders/Arms,Single arm cable tricep pushdown,3,11,20,,Single Arm Cable Tricep Pushdown,
2024-11-02,Shoulders/Arms,Smith machine shoulder press,1,8,75,,Smith Machine Shoulder Press,
2024-11-02,Shoulders/Arms,Smith machine shoulder press,2,8,95,,Smith Machine Shoulder Press,
2024-11-02,Shoulders/Arms,Smith machine shoulder press,3,8,115,,Smith Machine Shoulder Press,
2024-11-02,Shoulders/Arms,Smith machine shoulder press,4,10,115,,Smith Machine Shoulder Press,
2024-11-02,Shoulders/Arms,Tricep Extension Machine,1,10,50,,Tricep Extension Machine,
2024-11-02,Shoulders/Arms,Tricep Extension Machine,2,12,70,,Tricep Extension Machine,
2024-11-07,Legs 2,Cable Step-Ups,1,10,25,,Cable Step-ups,
2024-11-07,Legs 2,Cable Step-Ups,2,10,30,,Cable Step-ups,
2024-11-07,Legs 2,Cable Step-Ups,3,10,40,,Cable Step-ups,
2024-11-07,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-11-07,Legs 2,Dumbbell Split Squat,2,8,20,,Dumbbell Split Squat,
2024-11-07,Legs 2,Dumbbell Split Squat,3,9,25,,Dumbbell Split Squat,
2024-11-07,Legs 2,Single Leg Extension,1,10,30,,Single Leg Extension,
2024-11-07,Legs 2,Single Leg Extension,2,10,40,,Single Leg Extension,
2024-11-07,Legs 2,Single Leg Extension,3,10,60,,Single Leg Extension,
2024-11-07,Legs 2,Single Leg RDL,1,10,40,,Single Leg Romanian Deadlift,
2024-11-07,Legs 2,Single Leg RDL,2,10,55,,Single Leg Romanian Deadlift,
2024-11-07,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-11-07,Legs 2,Smith machine squat,2,8,105,,Smith Machine Squat,
2024-11-07,Legs 2,Smith machine squat,3,9,115,,Smith Machine Squat,
2024-11-08,Push,Cable crunch,1,15,60,,Cable Crunch,
2024-11-08,Push,Cable crunch,2,15,70,,Cable Crunch,
2024-11-08,Push,Cable crunch,3,15,85,,Cable Crunch,
2024-11-08,Push,Egyptian Lateral Raise,1,10,10,,Egyptian Lateral Raise,
2024-11-08,Push,Egyptian Lateral Raise,2,10,10,,Egyptian Lateral Raise,
2024-11-08,Push,Egyptian Lateral Raise,3,10,10,,Egyptian Lateral Raise,
2024-11-08,Push,Machine chest fly,1,10,50,,Machine Chest Fly,
2024-11-08,Push,Machine chest fly,2,13,40,,Machine Chest Fly,
2024-11-08,Push,Machine chest fly,3,13,30,,Machine Chest Fly,
2024-11-08,Push,Machine Chest Press,1,12,90,,Machine Chest Press,
2024-11-08,Push,Machine Chest Press,2,12,110,,Machine Chest Press,
2024-11-08,Push,Machine Chest Press,3,12,120,,Machine Chest Press,
2024-11-08,Push,Machine incline chest-press,1,8,90,,Machine Incline Chest-press,
2024-11-08,Push,Machine incline chest-press,2,8,95,,Machine Incline Chest-press,
2024-11-08,Push,Machine incline chest-press,3,8,120,,Machine Incline Chest-press,
2024-11-08,Push,Tricep overhead rope extension,1,10,30,,Tricep Overhead Rope Extension,
2024-11-08,Push,Tricep overhead rope extension,2,10,40,,Tricep Overhead Rope Extension,
2024-11-08,Push,Tricep overhead rope extension,3,11,45,,Tricep Overhead Rope Extension,
2024-11-08,Push,Upper body warmup,1,10,10,,Upper Body Warmup,
2024-11-09,Shoulders/Arms,Bayesian Biceps cable curl,1,10,20,,Bayesian Biceps Cable Curl,
2024-11-09,Shoulders/Arms,Bayesian Biceps cable curl,2,11,25,,Bayesian Biceps Cable Curl,
2024-11-09,Shoulders/Arms,Bayesian Biceps cable curl,3,11,25,,Bayesian Biceps Cable Curl,
2024-11-09,Shoulders/Arms,Cable crunch,1,15,60,,Cable Crunch,
2024-11-09,Shoulders/Arms,Cable crunch,2,15,75,,Cable Crunch,
2024-11-09,Shoulders/Arms,Cable crunch,3,15,85,,Cable Crunch,
2024-11-09,Shoulders/Arms,DB Lateral Raises,1,8,15,,Dumbbell Lateral Raises,
2024-11-09,Shoulders/Arms,DB Lateral Raises,2,8,20,,Dumbbell Lateral Raises,
2024-11-09,Shoulders/Arms,DB Lateral Raises,3,8,30,,Dumbbell Lateral Raises,
2024-11-09,Shoulders/Arms,Machine preacher curl,1,10,35,,Machine Preacher Curl,
2024-11-09,Shoulders/Arms,Machine preacher curl,2,10,50,,Machine Preacher Curl,
2024-11-09,Shoulders/Arms,Machine Rear Delt Fly,1,12,20,,Machine Rear Delt Fly,
2024-11-09,Shoulders/Arms,Machine Rear Delt Fly,2,12,30,,Machine Rear Delt Fly,
2024-11-09,Shoulders/Arms,Machine Rear Delt Fly,3,12,40,,Machine Rear Delt Fly,
2024-11-09,Shoulders/Arms,Single arm cable tricep pushdown,1,10,20,,Single Arm Cable Tricep Pushdown,
2024-11-09,Shoulders/Arms,Single arm cable tricep pushdown,2,10,20,,Single Arm Cable Tricep Pushdown,
2024-11-09,Shoulders/Arms,Single arm cable tricep pushdown,3,11,20,,Single Arm Cable Tricep Pushdown,
2024-11-09,Shoulders/Arms,Smith machine shoulder press,1,8,75,,Smith Machine Shoulder Press,
2024-11-09,Shoulders/Arms,Smith machine shoulder press,2,8,95,,Smith Machine Shoulder Press,
2024-11-09,Shoulders/Arms,Smith machine shoulder press,3,8,115,,Smith Machine Shoulder Press,
2024-11-09,Shoulders/Arms,Smith machine shoulder press,4,8,120,,Smith Machine Shoulder Press,
2024-11-09,Shoulders/Arms,Tricep Extension Machine,1,10,60,,Tricep Extension Machine,
2024-11-09,Shoulders/Arms,Tricep Extension Machine,2,10,80,,Tricep Extension Machine,
2024-11-14,Legs 2,Cable Step-Ups,1,10,25,,Cable Step-ups,
2024-11-14,Legs 2,Cable Step-Ups,2,10,30,,Cable Step-ups,
2024-11-14,Legs 2,Cable Step-Ups,3,10,40,,Cable Step-ups,
2024-11-14,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-11-14,Legs 2,Dumbbell Split Squat,2,8,25,,Dumbbell Split Squat,
2024-11-14,Legs 2,Dumbbell Split Squat,3,9,25,,Dumbbell Split Squat,
2024-11-14,Legs 2,Single Leg Extension,1,10,30,,Single Leg Extension,
2024-11-14,Legs 2,Single Leg Extension,2,10,50,,Single Leg Extension,
2024-11-14,Legs 2,Single Leg Extension,3,11,60,,Single Leg Extension,
2024-11-14,Legs 2,Single Leg RDL,1,10,40,,Single Leg Romanian Deadlift,
2024-11-14,Legs 2,Single Leg RDL,2,11,55,,Single Leg Romanian Deadlift,
2024-11-14,Legs 2,Smith machine squat,1,8,95,,Smith Machine Squat,
2024-11-14,Legs 2,Smith machine squat,2,8,105,,Smith Machine Squat,
2024-11-14,Legs 2,Smith machine squat,3,8,125,,Smith Machine Squat,
2024-11-15,Push,Cable crunch,1,15,65,,Cable Crunch,
2024-11-15,Push,Cable crunch,2,15,75,,Cable Crunch,
2024-11-15,Push,Cable crunch,3,16,85,,Cable Crunch,
2024-11-15,Push,Egyptian Lateral Raise,1,10,10,,Egyptian Lateral Raise,
2024-11-15,Push,Egyptian Lateral Raise,2,10,10,,Egyptian Lateral Raise,
2024-11-15,Push,Egyptian Lateral Raise,3,11,10,,Egyptian Lateral Raise,
2024-11-15,Push,Machine chest fly,1,12,30,,Machine Chest Fly,
2024-11-15,Push,Machine chest fly,2,10,40,,Machine Chest Fly,
2024-11-15,Push,Machine chest fly,3,12,40,,Machine Chest Fly,
2024-11-15,Push,Machine Chest Press,1,12,90,,Machine Chest Press,
2024-11-15,Push,Machine Chest Press,2,12,110,,Machine Chest Press,
2024-11-15,Push,Machine Chest Press,3,12,125,,Machine Chest Press,
2024-11-15,Push,Machine incline chest-press,1,8,90,,Machine Incline Chest-press,
2024-11-15,Push,Machine incline chest-press,2,8,100,,Machine Incline Chest-press,
2024-11-15,Push,Machine incline chest-press,3,8,120,,Machine Incline Chest-press,
2024-11-15,Push,Tricep overhead rope extension,1,10,30,,Tricep Overhead Rope Extension,
2024-11-15,Push,Tricep overhead rope extension,2,10,40,,Tricep Overhead Rope Extension,
2024-11-15,Push,Tricep overhead rope extension,3,10,50,,Tricep Overhead Rope Extension,
2024-11-15,Push,Upper body warmup,1,10,10,,Upper Body Warmup,
2024-11-16,Shoulders/Arms,Bayesian Biceps cable curl,1,10,20,,Bayesian Biceps Cable Curl,
2024-11-16,Shoulders/Arms,Bayesian Biceps cable curl,2,11,25,,Bayesian Biceps Cable Curl,
2024-11-16,Shoulders/Arms,Bayesian Biceps cable curl,3,11,25,,Bayesian Biceps Cable Curl,
2024-11-16,Shoulders/Arms,Cable crunch,1,15,65,,Cable Crunch,
2024-11-16,Shoulders/Arms,Cable crunch,2,15,75,,Cable Crunch,
2024-11-16,Shoulders/Arms,DB Lateral Raises,1,8,15,,Dumbbell Lateral Raises,
2024-11-16,Shoulders/Arms,DB Lateral Raises,2,9,20,,Dumbbell Lateral Raises,
2024-11-16,Shoulders/Arms,DB Lateral Raises,3,9,30,,Dumbbell Lateral Raises,
2024-11-16,Shoulders/Arms,Machine preacher curl,1,10,35,,Machine Preacher Curl,
2024-11-16,Shoulders/Arms,Machine preacher curl,2,10,50,,Machine Preacher Curl,
2024-11-16,Shoulders/Arms,Machine Rear Delt Fly,1,12,20,,Machine Rear Delt Fly,
2024-11-16,Shoulders/Arms,Machine Rear Delt Fly,2,12,30,,Machine Rear Delt Fly,
2024-11-16,Shoulders/Arms,Single arm cable tricep pushdown,1,10,20,,Single Arm Cable Tricep Pushdown,
2024-11-16,Shoulders/Arms,Single arm cable tricep pushdown,2,10,20,,Single Arm Cable Tricep Pushdown,
2024-11-16,Shoulders/Arms,Single arm cable tricep pushdown,3,11,20,,Single Arm Cable Tricep Pushdown,
2024-11-16,Shoulders/Arms,Smith machine shoulder press,1,8,75,,Smith Machine Shoulder Press,
2024-11-16,Shoulders/Arms,Smith machine shoulder press,2,8,95,,Smith Machine Shoulder Press,
2024-11-16,Shoulders/Arms,Smith machine shoulder press,3,8,115,,Smith Machine Shoulder Press,
2024-11-16,Shoulders/Arms,Smith machine shoulder press,4,9,120,,Smith Machine Shoulder Press,
2024-11-16,Shoulders/Arms,Tricep Extension Machine,1,10,60,,Tricep Extension Machine,
2024-11-16,Shoulders/Arms,Tricep Extension Machine,2,11,80,,Tricep Extension Machine,
2024-11-21,Legs 2,Cable Step-Ups,1,10,25,,Cable Step-ups,
2024-11-21,Legs 2,Cable Step-Ups,2,10,30,,Cable Step-ups,
2024-11-21,Legs 2,Cable Step-Ups,3,11,40,,Cable Step-ups,
2024-11-21,Legs 2,Dumbbell Split Squat,1,8,20,,Dumbbell Split Squat,
2024-11-21,Legs 2,Dumbbell Split Squat,2,8,25,,Dumbbell Split Squat,
2024-11-21,Legs 2,Dumbbell Split Squat,3,8,30,,Dumbbell Split Squat,
